,year,artist,song,track_id,acousticness,analysis_url,danceability,duration_ms,energy,error,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
665,2017,Kodak Black,Tunnel Vision,4Q3N4Ct4zCuIHuZ65E3BD4,0.0576,https://api.spotify.com/v1/audio-analysis/4Q3N4Ct4zCuIHuZ65E3BD4,0.497,268187.0,0.489,,4Q3N4Ct4zCuIHuZ65E3BD4,9.91e-05,11.0,0.122,-7.724,0.0,0.294,171.853,4.0,https://api.spotify.com/v1/tracks/4Q3N4Ct4zCuIHuZ65E3BD4,audio_features,spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4,0.231
666,2017,Post Malone Featuring 21 Savage,Rockstar,0e7ipj03S05BNilyu5bRzt,0.117,https://api.spotify.com/v1/audio-analysis/0e7ipj03S05BNilyu5bRzt,0.587,218147.0,0.535,,0e7ipj03S05BNilyu5bRzt,6.56e-05,5.0,0.131,-6.09,0.0,0.0898,159.847,4.0,https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt,audio_features,spotify:track:0e7ipj03S05BNilyu5bRzt,0.14
667,2017,Brett Young,In Case You Didn't Know,10M2Ex445zw585Ducldzkw,0.386,https://api.spotify.com/v1/audio-analysis/10M2Ex445zw585Ducldzkw,0.607,224853.0,0.536,,10M2Ex445zw585Ducldzkw,0.0,10.0,0.102,-7.306,1.0,0.0305,147.986,4.0,https://api.spotify.com/v1/tracks/10M2Ex445zw585Ducldzkw,audio_features,spotify:track:10M2Ex445zw585Ducldzkw,0.434
668,2017,Halsey,Now Or Never,7i2DJ88J7jQ8K7zqFX2fW8,0.107,https://api.spotify.com/v1/audio-analysis/7i2DJ88J7jQ8K7zqFX2fW8,0.67,214802.0,0.585,,7i2DJ88J7jQ8K7zqFX2fW8,1.11e-06,6.0,0.131,-4.861,0.0,0.0354,110.03,4.0,https://api.spotify.com/v1/tracks/7i2DJ88J7jQ8K7zqFX2fW8,audio_features,spotify:track:7i2DJ88J7jQ8K7zqFX2fW8,0.447
669,2017,Amine,Caroline,5hTpBe8h35rJ67eAWHQsJx,0.17,https://api.spotify.com/v1/audio-analysis/5hTpBe8h35rJ67eAWHQsJx,0.941,209640.0,0.335,,5hTpBe8h35rJ67eAWHQsJx,0.0,5.0,0.262,-10.179,0.0,0.505,120.041,4.0,https://api.spotify.com/v1/tracks/5hTpBe8h35rJ67eAWHQsJx,audio_features,spotify:track:5hTpBe8h35rJ67eAWHQsJx,0.707
670,2017,Kendrick Lamar,DNA.,6HZILIRieu8S0iqY8kIKhj,0.00454,https://api.spotify.com/v1/audio-analysis/6HZILIRieu8S0iqY8kIKhj,0.638,185947.0,0.523,,6HZILIRieu8S0iqY8kIKhj,0.0,1.0,0.0842,-6.664,1.0,0.357,139.913,4.0,https://api.spotify.com/v1/tracks/6HZILIRieu8S0iqY8kIKhj,audio_features,spotify:track:6HZILIRieu8S0iqY8kIKhj,0.422
671,2017,Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem),1lItf5ZXJc1by9SbPeljFd,0.00381,https://api.spotify.com/v1/audio-analysis/1lItf5ZXJc1by9SbPeljFd,0.807,144244.0,0.887,,1lItf5ZXJc1by9SbPeljFd,0.0,1.0,0.391,-3.892,1.0,0.275,160.517,4.0,https://api.spotify.com/v1/tracks/1lItf5ZXJc1by9SbPeljFd,audio_features,spotify:track:1lItf5ZXJc1by9SbPeljFd,0.78
672,2017,Rae Sremmurd,Swang,6mapJIPnQ23RTAevUoE0DL,0.2,https://api.spotify.com/v1/audio-analysis/6mapJIPnQ23RTAevUoE0DL,0.681,208120.0,0.314,,6mapJIPnQ23RTAevUoE0DL,9.82e-06,8.0,0.1,-9.319,1.0,0.0581,139.992,4.0,https://api.spotify.com/v1/tracks/6mapJIPnQ23RTAevUoE0DL,audio_features,spotify:track:6mapJIPnQ23RTAevUoE0DL,0.166
673,2017,Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,0.304,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,0.804,298941.0,0.459,,5mCPDVBb16L4XQwDdbRUpz,0.0862,11.0,0.11,-11.556,1.0,0.039,111.963,4.0,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,audio_features,spotify:track:5mCPDVBb16L4XQwDdbRUpz,0.372
674,2017,Kesha,Praying,0jdny0dhgjUwoIp5GkqEaA,0.491,https://api.spotify.com/v1/audio-analysis/0jdny0dhgjUwoIp5GkqEaA,0.576,230267.0,0.39,,0jdny0dhgjUwoIp5GkqEaA,0.0,10.0,0.111,-7.202,1.0,0.0297,73.433,4.0,https://api.spotify.com/v1/tracks/0jdny0dhgjUwoIp5GkqEaA,audio_features,spotify:track:0jdny0dhgjUwoIp5GkqEaA,0.319
675,2017,Travis Scott,Goosebumps,6gBFPUFcJLzWGx4lenP6h2,0.0847,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,0.841,243837.0,0.728,,6gBFPUFcJLzWGx4lenP6h2,0.0,7.0,0.149,-3.37,1.0,0.0484,130.049,4.0,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,audio_features,spotify:track:6gBFPUFcJLzWGx4lenP6h2,0.43
676,2017,Maroon 5 Featuring Future,Cold,7gwLQ4tZ5UdZ7qNcDyJ8wr,0.14,https://api.spotify.com/v1/audio-analysis/7gwLQ4tZ5UdZ7qNcDyJ8wr,0.693,234308.0,0.717,,7gwLQ4tZ5UdZ7qNcDyJ8wr,0.0,9.0,0.0464,-6.346,0.0,0.107,99.836,4.0,https://api.spotify.com/v1/tracks/7gwLQ4tZ5UdZ7qNcDyJ8wr,audio_features,spotify:track:7gwLQ4tZ5UdZ7qNcDyJ8wr,0.412
677,2017,Calvin Harris Featuring Frank Ocean & Migos,Slide,6gpcs5eMhJwax4mIfKDYQk,0.498,https://api.spotify.com/v1/audio-analysis/6gpcs5eMhJwax4mIfKDYQk,0.736,230813.0,0.795,,6gpcs5eMhJwax4mIfKDYQk,1.21e-06,1.0,0.254,-3.299,0.0,0.0545,104.066,4.0,https://api.spotify.com/v1/tracks/6gpcs5eMhJwax4mIfKDYQk,audio_features,spotify:track:6gpcs5eMhJwax4mIfKDYQk,0.511
678,2017,Kane Brown Featuring Lauren Alaina,What Ifs,7zVCrzzEJU7u24sbJPXA5W,0.00898,https://api.spotify.com/v1/audio-analysis/7zVCrzzEJU7u24sbJPXA5W,0.612,188253.0,0.799,,7zVCrzzEJU7u24sbJPXA5W,0.0,10.0,0.172,-4.603,1.0,0.0275,125.976,4.0,https://api.spotify.com/v1/tracks/7zVCrzzEJU7u24sbJPXA5W,audio_features,spotify:track:7zVCrzzEJU7u24sbJPXA5W,0.687
679,2017,Katy Perry Featuring Skip Marley,Chained To The Rhythm,7qvxFz3JodM0A7xEM7k3YD,0.0814,https://api.spotify.com/v1/audio-analysis/7qvxFz3JodM0A7xEM7k3YD,0.446,237733.0,0.8,,7qvxFz3JodM0A7xEM7k3YD,0.0,0.0,0.199,-5.404,1.0,0.174,189.89,4.0,https://api.spotify.com/v1/tracks/7qvxFz3JodM0A7xEM7k3YD,audio_features,spotify:track:7qvxFz3JodM0A7xEM7k3YD,0.474
680,2017,Calvin Harris Featuring Pharrell Williams  Katy Perry & Big Sean,Feels,5bcTCxgc7xVfSaMV3RuVke,0.0642,https://api.spotify.com/v1/audio-analysis/5bcTCxgc7xVfSaMV3RuVke,0.893,223413.0,0.745,,5bcTCxgc7xVfSaMV3RuVke,0.0,11.0,0.0943,-3.105,0.0,0.0571,101.018,4.0,https://api.spotify.com/v1/tracks/5bcTCxgc7xVfSaMV3RuVke,audio_features,spotify:track:5bcTCxgc7xVfSaMV3RuVke,0.872
681,2017,Jon Bellion,All Time Low,0SuLAslEMFZAXf0SwY7syi,0.0508,https://api.spotify.com/v1/audio-analysis/0SuLAslEMFZAXf0SwY7syi,0.584,217603.0,0.569,,0SuLAslEMFZAXf0SwY7syi,0.0,0.0,0.0924,-4.259,1.0,0.166,89.779,4.0,https://api.spotify.com/v1/tracks/0SuLAslEMFZAXf0SwY7syi,audio_features,spotify:track:0SuLAslEMFZAXf0SwY7syi,0.501
682,2017,Luke Combs,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,0.0153,https://api.spotify.com/v1/audio-analysis/6xHI9KjUjYT0FPtGO8Mxa1,0.464,222533.0,0.813,,6xHI9KjUjYT0FPtGO8Mxa1,0.0,10.0,0.254,-6.185,1.0,0.0416,75.975,4.0,https://api.spotify.com/v1/tracks/6xHI9KjUjYT0FPtGO8Mxa1,audio_features,spotify:track:6xHI9KjUjYT0FPtGO8Mxa1,0.516
683,2017,Sam Smith,Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,0.615,https://api.spotify.com/v1/audio-analysis/3VlbOrM6nYPprVvzBZllE5,0.661,201000.0,0.373,,3VlbOrM6nYPprVvzBZllE5,0.0,5.0,0.177,-8.249,1.0,0.0505,91.5,4.0,https://api.spotify.com/v1/tracks/3VlbOrM6nYPprVvzBZllE5,audio_features,spotify:track:3VlbOrM6nYPprVvzBZllE5,0.523
684,2017,Khalid,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,0.199,https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY,0.798,202547.0,0.539,,5Z3GHaZ6ec9bsiI5BenrbY,1.66e-05,1.0,0.165,-6.351,1.0,0.0421,136.949,4.0,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY,audio_features,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,0.394
685,2017,Playboi Carti,Magnolia,1e1JKLEDKP7hEQzJfNAgPl,0.0113,https://api.spotify.com/v1/audio-analysis/1e1JKLEDKP7hEQzJfNAgPl,0.791,181812.0,0.581,,1e1JKLEDKP7hEQzJfNAgPl,0.0,11.0,0.35,-7.323,0.0,0.286,162.99,4.0,https://api.spotify.com/v1/tracks/1e1JKLEDKP7hEQzJfNAgPl,audio_features,spotify:track:1e1JKLEDKP7hEQzJfNAgPl,0.438
686,2017,SZA Featuring Travis Scott,Love Galore,0q75NwOoFiARAVp4EXU4Bs,0.111,https://api.spotify.com/v1/audio-analysis/0q75NwOoFiARAVp4EXU4Bs,0.795,275080.0,0.594,,0q75NwOoFiARAVp4EXU4Bs,0.0,0.0,0.162,-6.2,1.0,0.0747,135.002,4.0,https://api.spotify.com/v1/tracks/0q75NwOoFiARAVp4EXU4Bs,audio_features,spotify:track:0q75NwOoFiARAVp4EXU4Bs,0.409
687,2017,A Boogie Wit da Hoodie Featuring Kodak Black,Drowning,1f5cbQtDrykjarZVrShaDI,0.501,https://api.spotify.com/v1/audio-analysis/1f5cbQtDrykjarZVrShaDI,0.839,209269.0,0.81,,1f5cbQtDrykjarZVrShaDI,0.0,5.0,0.117,-5.274,0.0,0.0568,129.014,4.0,https://api.spotify.com/v1/tracks/1f5cbQtDrykjarZVrShaDI,audio_features,spotify:track:1f5cbQtDrykjarZVrShaDI,0.814
